jmag,sn18_best,sn18_med,flux18_best,flux18_med,exptime_best,exptime_med
3.4,621.959093907,535.597711489,555561.461514,402235.703715,52.4288,52.4288
3.6,655.340564775,546.165532797,626612.40972,423039.604454,52.4288,52.4288
5.2,715.955242159,464.809403514,700208.863509,265774.373652,314.5728,314.5728
6.9,380.727862187,256.285516683,181970.545796,88329.6100329,314.5728,314.5728
8.8,161.232867049,112.034911387,32864.4902709,15938.5726105,314.5728,314.5728
9.8,143.903730499,91.1948013941,25911.8148272,10747.1546268,629.1456,314.5728
10.8,78.6393968935,57.4793306173,8188.52708013,5129.51940552,943.7184,943.7184
11.3,73.6614422049,63.68388666,7230.39035579,5397.63225999,943.7184,922.74688
